                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 2.1844,                 1.7424,                  2.231,                0.32707,                0.26268,                  0.238,                0.08884,                 5.4184,                 7.0637,                 5.2635,             0.00010808,             0.00010808,             0.00010808
                     91,                 2.0693,                 1.3341,                 2.2722,                 0.3922,                0.24698,                0.22251,                0.08493,                 5.4126,                 6.9539,                 5.2898,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.9834,                 1.2574,                 2.2097,                0.32506,                0.25612,                0.22295,                0.08235,                 5.4751,                 7.0893,                 5.3186,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.9576,                 1.1723,                 2.1796,                0.33671,                0.26069,                0.23349,                0.08624,                 5.4509,                 7.1624,                 5.3122,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.9418,                 1.1959,                 2.1627,                0.37257,                0.27951,                0.24012,                0.08632,                 5.5124,                 7.1283,                 5.3031,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.9013,                 1.1611,                 2.1481,                0.33227,                 0.2655,                0.23097,                0.08541,                 5.3877,                 7.2665,                   5.25,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.8807,                 1.1181,                 2.1273,                0.35049,                0.25701,                0.23177,                0.08649,                 5.4338,                 7.2793,                 5.2201,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.8426,                 1.1192,                 2.1253,                 0.3313,                0.23738,                0.22532,                0.08341,                 5.4623,                 7.2259,                 5.2901,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.8262,                 1.0763,                 2.1038,                0.37671,                0.23274,                0.22624,                0.08389,                 5.4825,                  7.191,                 5.3178,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.8569,                 1.1369,                 2.1343,                0.36536,                0.23832,                0.22766,                0.08557,                 5.4399,                 7.3321,                 5.2757,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.7668,                 1.0767,                 2.0852,                0.32795,                0.25533,                0.22705,                0.08434,                 5.4822,                 7.3611,                 5.3365,             1.8089e-05,             1.8089e-05,             1.8089e-05
